CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees
2015-2-27,25,22,20,20,19,17,94,79,68,1016,1014,1012,23,9,5,29,10,,0.00,6,,138
2015-2-28,24,20,15,19,17,13,88,78,61,1020,1016,1014,18,9,3,32,10,,0.00,8,中雨,121
2015-3-1,18,15,12,13,8,7,88,64,43,1024,1021,1019,31,13,10,29,19,40,0.00,7,中雨,359
2015-3-2,18,15,12,14,9,6,86,67,55,1022,1016,1012,27,10,3,14,8,,0.25,8,中雨,57
2015-3-3,18,16,13,17,15,11,100,90,82,1015,1012,1011,13,6,1,26,8,,2.03,8,中雨,36
2015-3-4,14,13,12,12,11,10,100,89,77,1018,1016,1014,31,8,3,18,11,,0.25,8,中雨,32
2015-3-5,15,14,13,14,13,12,100,96,92,1018,1016,1014,8,3,2,11,6,,2.03,8,中雨,40
2015-3-6,13,12,11,13,11,9,100,94,85,1020,1018,1016,16,7,4,18,8,,0.00,8,中雨,14
2015-3-7,18,14,11,14,12,9,94,85,68,1021,1018,1016,18,9,2,18,6,,0.00,7,中雨,49
2015-3-8,22,18,15,18,16,14,94,84,66,1019,1017,1015,13,4,2,11,3,,0.00,7,,237
2015-3-9,23,20,17,18,16,14,94,81,62,1021,1019,1016,16,7,0,26,6,26,0.00,7,雾-中雨,356
2015-3-10,18,16,14,14,13,12,100,85,73,1024,1022,1021,13,7,2,18,13,,2.03,7,中雨,31
2015-3-11,14,13,12,13,12,11,100,88,82,1024,1022,1021,14,9,2,18,10,,0.51,8,中雨,37
2015-3-12,16,13,12,13,12,11,94,86,72,1024,1021,1018,31,10,3,14,8,,8.89,7,中雨,20
2015-3-13,18,16,14,15,14,12,94,85,68,1021,1019,1017,18,8,4,11,5,,0.00,8,中雨,69
2015-3-14,21,19,17,18,17,14,94,88,72,1021,1018,1016,13,5,2,11,3,,0.00,8,中雨,30
2015-3-15,23,21,19,21,19,18,100,92,83,1017,1015,1013,7,4,0,18,3,,0.00,8,雾-中雨,127
2015-3-16,26,23,21,22,21,19,94,86,71,1017,1014,1012,18,5,2,18,8,,0.00,7,,129
2015-3-17,25,23,21,21,21,19,94,84,64,1014,1011,1008,23,8,3,21,11,,0.00,7,中雨,140
2015-3-18,27,23,21,22,21,19,94,84,63,1013,1010,1008,19,8,3,26,11,,0.00,6,,138
2015-3-19,30,26,22,23,22,20,94,82,58,1015,1012,1010,21,7,2,21,8,,0.00,6,中雨,122
2015-3-20,30,26,21,22,20,18,100,74,40,1017,1014,1013,23,8,3,14,6,,0.00,5,,145
2015-3-21,26,22,19,20,18,17,94,71,57,1019,1016,1015,14,8,3,26,8,,0.00,6,,347
2015-3-22,25,22,19,19,17,15,78,71,55,1019,1017,1015,18,7,4,14,6,,0.00,7,中雨,59
2015-3-23,23,20,18,18,17,13,94,78,44,1022,1019,1016,16,7,4,29,8,,1.02,6,中雨,80
2015-3-24,23,21,18,17,15,13,94,72,44,1024,1022,1020,31,11,8,26,8,,0.00,5,,45
2015-3-25,22,19,16,17,14,13,94,73,52,1026,1024,1022,26,11,5,14,8,,1.02,5,中雨,33
2015-3-26,19,17,16,18,17,14,100,92,80,1026,1024,1023,18,6,2,14,6,,1.02,8,中雨,98
2015-3-27,25,21,17,19,18,16,94,80,58,1025,1022,1019,31,9,4,11,3,,0.00,6,,79
2015-3-28,28,22,17,18,16,15,87,68,42,1020,1018,1015,19,8,5,11,6,,0.00,5,,115
2015-3-29,26,21,17,19,18,16,93,76,50,1019,1015,1013,18,6,2,14,6,,0.00,5,,137
2015-3-30,28,24,21,21,20,18,88,77,55,1016,1014,1011,18,7,4,18,10,,0.00,5,中雨,148
2015-3-31,30,26,22,21,21,19,88,76,50,1015,1012,1010,26,9,6,21,11,,0.00,5,,150
2015-4-1,28,24,22,23,22,20,89,80,65,1013,1011,1008,18,9,5,26,11,,0.00,6,中雨,139
2015-4-2,31,27,23,23,22,21,84,76,58,1009,1006,1003,23,10,6,29,18,35,0.00,6,,157
2015-4-3,29,27,24,24,23,21,83,79,65,1008,1005,1003,23,11,10,26,14,,0.00,6,,143
2015-4-4,32,28,24,23,23,21,89,74,52,1011,1008,1006,29,12,10,29,16,,0.00,6,,150
2015-4-5,33,28,22,23,21,13,89,68,25,1013,1010,1008,27,11,5,29,11,,0.00,3,,145
2015-4-6,33,27,20,22,21,18,94,67,35,1013,1011,1008,27,10,5,11,6,21,0.00,2,,123
2015-4-7,29,23,16,23,18,13,91,68,43,1020,1014,1011,16,8,5,35,13,,4.06,5,中雨,5
2015-4-8,18,15,12,13,12,9,94,79,59,1022,1020,1018,24,11,2,26,18,,26.92,8,中雨-雷暴,40
2015-4-9,16,14,13,13,12,11,94,86,76,1020,1019,1018,18,8,3,18,10,,2.03,8,中雨,24
2015-4-10,16,14,13,13,12,11,94,85,77,1021,1019,1018,26,10,3,18,10,32,14.99,7,中雨,12
2015-4-11,17,14,12,15,13,11,100,89,82,1022,1020,1018,14,8,3,14,5,,7.11,8,中雨,35
2015-4-12,26,20,14,15,13,12,94,68,34,1022,1020,1017,26,9,2,18,8,,0.00,5,,14
2015-4-13,28,20,13,15,12,8,94,57,20,1022,1019,1016,26,9,5,26,8,,0.00,,,33
2015-4-14,28,19,11,12,6,-1,76,38,10,1022,1018,1015,31,18,6,14,6,,0.00,,,111
2015-4-15,29,20,12,13,11,8,92,51,19,1017,1015,1012,26,9,5,26,6,26,0.00,,,144
2015-4-16,31,22,14,18,15,12,89,58,31,1017,1014,1010,18,8,6,14,6,29,0.00,,,119
2015-4-17,30,23,17,20,17,14,94,67,36,1014,1011,1008,26,8,3,26,10,43,0.00,3,,135
2015-4-18,28,24,21,24,21,17,84,78,70,1011,1008,1005,18,9,6,21,13,,0.00,6,中雨,134
2015-4-19,32,28,24,24,23,22,89,79,62,1009,1006,1004,18,8,6,21,14,,0.00,6,,149
2015-4-20,27,22,17,24,21,16,100,84,74,1012,1008,1005,27,10,3,29,11,47,17.02,6,中雨-雷暴,9
2015-4-21,26,22,18,17,15,14,83,66,40,1016,1014,1011,27,12,10,26,14,,0.00,5,,359
2015-4-22,27,22,17,17,14,12,70,56,37,1019,1017,1015,26,14,10,18,10,,0.00,5,,28
2015-4-23,25,22,20,18,17,15,87,68,52,1020,1018,1017,18,8,5,14,6,,0.25,5,中雨,63
2015-4-24,27,23,20,21,19,17,88,75,44,1020,1017,1016,23,7,5,18,6,,1.02,6,中雨,49
2015-4-25,29,24,21,22,21,19,94,78,54,1018,1016,1014,16,5,2,18,5,,2.03,4,,76
2015-4-26,25,23,21,23,22,19,100,90,67,1019,1016,1014,6,3,0,11,6,,5.08,6,中雨,79
2015-4-27,30,25,20,22,21,18,94,76,43,1016,1013,1010,18,5,0,11,5,,0.00,6,雾,152
2015-4-28,31,26,22,23,22,19,94,73,44,1013,1011,1008,16,7,3,14,8,32,0.00,4,,157
2015-4-29,32,27,22,24,22,21,94,76,46,1013,1010,1007,19,7,2,26,5,,12.95,4,中雨-雷暴,92
2015-4-30,32,27,22,24,23,19,94,75,37,1013,1010,1007,19,6,0,18,8,,0.00,4,雾-中雨,131
2015-5-1,31,28,25,25,23,21,94,77,57,1011,1008,1006,29,11,6,26,14,,11.94,6,中雨,157
2015-5-2,31,28,26,26,24,22,94,81,58,1010,1008,1005,27,12,6,29,13,26,0.00,5,中雨,170
2015-5-3,34,29,25,26,24,22,100,83,48,1011,1008,1005,27,9,0,32,5,40,38.10,6,中雨-雷暴,106
2015-5-4,33,28,24,26,25,22,100,83,57,1012,1009,1005,19,7,2,26,6,32,87.12,6,中雨-雷暴,162
2015-5-5,30,27,24,25,24,22,100,89,67,1010,1007,1004,23,7,2,35,8,,10.92,6,中雨-雷暴,104
2015-5-6,29,26,23,26,24,22,100,89,76,1010,1007,1004,18,8,3,35,13,58,36.07,7,中雨-雷暴,131
2015-5-7,30,27,23,26,24,22,100,90,70,1012,1009,1007,18,9,2,18,8,,66.04,6,中雨-雷暴,88
2015-5-8,30,28,26,26,25,24,94,86,72,1009,1007,1004,26,11,7,18,8,,2.03,5,中雨-雷暴,160
2015-5-9,29,26,23,26,24,21,100,92,65,1009,1008,1006,26,8,2,21,6,,34.04,6,中雨,114
2015-5-10,30,26,22,24,23,21,100,84,59,1011,1009,1007,26,9,2,18,6,,0.00,4,中雨,114
2015-5-11,30,26,21,26,23,17,100,88,68,1013,1009,1007,31,8,3,26,10,40,40.89,6,中雨-雷暴,92
2015-5-12,30,24,19,18,16,7,83,59,17,1015,1013,1011,31,15,10,26,13,,0.00,5,,41
2015-5-13,31,26,20,25,21,17,94,74,60,1013,1011,1009,23,10,5,21,8,,0.00,5,中雨,120
2015-5-14,34,29,24,25,24,22,94,77,49,1013,1011,1008,29,10,3,21,11,,0.00,5,中雨,140
2015-5-15,33,29,26,26,24,23,89,74,55,1012,1010,1007,27,12,10,26,11,,0.00,5,中雨,151
2015-5-16,29,26,22,25,23,21,100,91,74,1012,1009,1008,18,7,2,21,8,47,24.89,6,中雨-雷暴,149
2015-5-17,27,25,23,25,24,22,100,93,77,1009,1007,1005,19,6,0,21,5,,44.96,6,中雨,128
2015-5-18,32,28,24,26,25,23,100,84,58,1008,1006,1004,27,9,2,26,8,,1.02,6,中雨,158
2015-5-19,33,30,27,28,26,24,94,82,65,1007,1005,1003,27,10,5,26,11,,0.00,6,中雨-雷暴,165
2015-5-20,29,26,23,27,24,22,100,94,79,1008,1006,1004,14,8,2,18,10,35,51.05,6,中雨-雷暴,78
2015-5-21,26,23,22,25,24,21,100,97,86,1010,1007,1006,10,5,1,14,5,,29.97,7,中雨-雷暴,84
2015-5-22,24,23,22,23,23,21,100,95,81,1010,1008,1006,14,6,2,11,8,,5.08,8,中雨,85
2015-5-23,26,24,23,25,23,22,100,97,85,1007,1005,1004,10,4,1,26,6,,18.03,7,中雨-雷暴,85
2015-5-24,27,26,23,26,24,22,100,95,80,1007,1006,1004,11,4,0,11,3,,10.92,6,雾-中雨,65
2015-5-25,32,28,24,27,25,22,100,92,62,1008,1006,1003,11,4,0,18,5,43,29.97,5,雾-中雨-雷暴,92
2015-5-26,29,27,24,27,26,24,100,95,76,1008,1007,1005,16,5,1,32,6,40,17.02,6,中雨-雷暴,69
2015-5-27,34,30,26,28,27,24,100,86,63,1008,1005,1003,19,8,2,18,8,,0.00,6,中雨,134
2015-5-28,35,31,27,28,27,24,94,78,55,1006,1004,1001,23,10,6,21,10,,0.00,5,中雨,158
2015-5-29,36,32,28,28,26,24,89,75,56,1007,1005,1002,26,11,10,26,10,,0.00,5,,155
2015-5-30,35,30,24,28,26,23,100,84,63,1009,1006,1004,18,9,2,26,8,43,46.99,6,中雨-雷暴,164
2015-5-31,30,27,23,27,24,22,100,94,78,1009,1007,1005,18,6,2,32,6,50,21.08,6,中雨-雷暴,71
2015-6-1,32,28,23,27,24,22,100,92,68,1009,1007,1005,18,8,2,18,8,47,12.95,6,中雨-雷暴,80
2015-6-2,33,30,27,28,26,24,100,84,53,1010,1008,1006,27,10,5,21,10,,2.03,4,中雨-雷暴,156
2015-6-3,35,31,26,27,26,22,94,74,49,1011,1009,1006,31,12,8,18,10,,0.00,3,,158
2015-6-4,35,30,24,26,25,23,91,79,47,1010,1008,1005,31,11,3,32,8,,19.05,5,中雨-雷暴,172
2015-6-5,31,28,24,27,26,23,100,89,59,1008,1007,1005,26,9,1,18,5,29,35.05,5,中雨-雷暴,133
2015-6-6,33,29,24,27,25,23,100,87,54,1009,1007,1004,23,6,2,29,6,47,2.03,6,中雨-雷暴,94
2015-6-7,33,29,24,27,25,22,100,79,52,1009,1007,1006,31,11,4,21,8,,0.00,4,中雨-雷暴,150
2015-6-8,35,31,26,26,26,23,94,75,53,1009,1007,1004,31,12,10,21,11,40,6.10,4,,155
2015-6-9,34,29,25,27,26,23,100,78,54,1008,1006,1003,31,11,4,26,13,,0.51,5,中雨-雷暴,155
2015-6-10,34,29,25,28,26,24,100,89,63,1008,1006,1004,23,9,0,29,8,32,14.99,6,中雨-雷暴,91
2015-6-11,34,29,24,28,26,23,100,87,60,1010,1007,1005,19,9,3,21,5,,24.89,4,中雨-雷暴,161
2015-6-12,34,29,23,28,25,22,100,91,62,1010,1008,1006,19,7,0,35,6,72,16.00,5,中雨-雷暴,77
2015-6-13,33,29,24,27,24,23,100,85,50,1008,1007,1004,27,9,2,18,6,35,17.02,5,中雨-雷暴,89
2015-6-14,34,29,24,27,26,22,100,82,58,1009,1007,1005,26,10,3,18,8,29,10.92,4,中雨-雷暴,135
2015-6-15,34,29,25,27,26,22,94,81,52,1010,1008,1006,31,11,1,47,6,76,6.10,5,中雨-雷暴,123
2015-6-16,34,29,24,27,26,23,100,78,46,1010,1007,1005,27,10,3,21,6,,2.03,3,,170
2015-6-17,36,31,26,26,25,22,89,70,42,1007,1005,1002,31,13,10,21,10,32,0.00,3,,201
2015-6-18,35,30,26,26,25,22,89,68,37,1006,1004,1002,26,12,10,18,10,,0.00,3,,210
2015-6-19,36,31,26,27,25,22,85,67,38,1007,1005,1003,31,13,10,14,8,,0.00,4,,168
2015-6-20,35,31,26,27,25,22,89,68,36,1008,1006,1003,31,12,8,18,6,,0.00,3,中雨,135
2015-6-21,35,30,26,27,26,23,94,79,51,1006,1005,1003,27,11,5,18,8,,9.91,3,中雨-雷暴,88
2015-6-22,33,29,25,27,26,23,100,84,60,1005,1003,1001,31,12,4,29,8,,14.99,5,中雨-雷暴,92
2015-6-23,32,28,24,27,26,23,94,86,66,1006,1003,1002,31,12,6,21,11,29,8.89,5,中雨,104
2015-6-24,31,28,24,27,26,23,100,88,71,1006,1004,1003,27,11,4,21,10,,4.06,5,中雨,117
2015-6-25,34,30,26,28,26,23,94,82,56,1006,1004,1003,26,11,6,18,10,29,1.02,4,中雨-雷暴,144
2015-6-26,35,31,28,27,26,24,89,74,48,1007,1005,1003,27,12,10,21,10,,5.08,3,中雨,167
2015-6-27,35,31,28,27,26,23,89,73,46,1009,1007,1005,31,12,10,21,11,,0.25,4,,157
2015-6-28,36,31,27,27,26,23,89,72,46,1011,1008,1006,31,12,10,21,10,26,0.00,4,中雨,151
2015-6-29,35,31,28,27,26,23,84,71,46,1009,1007,1003,27,13,10,18,11,,0.00,4,,171
2015-6-30,37,32,28,27,26,23,84,70,44,1007,1004,1001,27,12,10,21,13,,0.00,5,,180
2015-7-1,36,32,28,28,26,23,89,70,44,1005,1002,999,27,13,10,21,11,32,0.00,5,,183
2015-7-2,37,33,29,28,26,24,84,70,48,1003,1001,999,27,12,10,21,13,,0.00,4,中雨,173
2015-7-3,37,32,28,27,26,23,89,71,48,1003,1001,999,27,12,10,26,10,,0.00,4,,145
2015-7-4,35,31,28,27,26,24,89,75,51,1004,1002,1000,26,12,10,18,11,,0.00,4,中雨-雷暴,136
2015-7-5,33,29,25,27,25,23,100,82,55,1004,1003,1001,27,10,3,18,8,29,14.99,5,中雨-雷暴,343
2015-7-6,31,28,24,24,22,21,94,74,51,1004,1002,1000,26,11,5,21,13,,0.00,6,中雨,352
2015-7-7,32,28,25,22,21,19,78,65,41,1003,1002,1000,27,12,10,26,16,43,0.00,5,,353
2015-7-8,31,28,24,22,21,18,74,64,45,1003,1002,1000,23,12,10,26,16,43,0.00,3,中雨,10
2015-7-9,31,27,24,24,22,19,100,76,49,1002,999,996,27,11,2,35,18,47,41.91,5,中雨,352
2015-7-10,33,29,24,26,24,23,100,80,48,1002,1000,998,31,11,3,29,14,,17.02,6,中雨,31
2015-7-11,36,30,24,25,24,21,85,67,38,1002,1000,998,27,12,8,18,11,32,0.00,2,,353
2015-7-12,37,31,26,27,24,22,84,66,39,1003,1001,999,23,10,6,14,8,,0.00,2,,24
2015-7-13,37,32,27,27,26,22,89,68,34,1003,1001,999,18,7,2,14,6,,0.00,4,中雨,103
2015-7-14,37,31,26,27,26,22,87,67,38,1003,1001,998,23,11,6,18,6,,0.00,2,,123
2015-7-15,36,31,27,27,26,23,89,70,41,1002,1000,997,24,11,8,18,8,,0.00,4,中雨,119
2015-7-16,35,30,26,27,26,24,100,81,55,1001,1000,997,14,8,0,21,8,35,100.08,5,中雨-雷暴,121
2015-7-17,34,29,25,27,26,23,100,86,65,1003,1001,999,14,8,3,14,8,,125.98,6,中雨-雷暴,45
2015-7-18,33,29,25,27,26,24,100,89,49,1003,1001,1000,23,8,1,29,6,,7.87,5,中雨-雷暴,43
2015-7-19,35,30,25,27,26,24,94,79,50,1003,1001,999,19,9,2,21,5,40,4.06,4,中雨-雷暴,35
2015-7-20,32,29,26,26,26,23,94,83,62,1003,1001,1000,14,9,2,21,8,,9.91,5,中雨-雷暴,59
2015-7-21,29,27,24,27,25,23,100,90,79,1008,1005,1002,26,9,3,26,8,,33.02,6,中雨-雷暴,210
2015-7-22,32,28,25,27,25,23,100,87,54,1008,1007,1004,27,10,1,21,8,40,0.51,5,中雨-雷暴,166
2015-7-23,31,28,25,28,26,23,100,90,56,1007,1006,1005,26,8,1,21,6,,6.10,4,中雨-雷暴,134
2015-7-24,30,28,25,26,25,22,94,86,72,1007,1005,1004,31,11,8,21,11,,2.03,5,中雨,153
2015-7-25,32,29,26,27,26,23,94,85,65,1007,1005,1004,27,10,5,21,6,,0.00,4,中雨-雷暴,152
2015-7-26,33,29,26,27,26,23,100,81,57,1011,1007,1005,27,10,6,29,10,,6.10,4,中雨,155
2015-7-27,32,28,24,26,25,23,100,84,66,1012,1010,1008,26,10,5,26,8,32,8.89,3,中雨-雷暴,125
2015-7-28,33,28,24,25,24,21,94,81,49,1013,1011,1009,27,11,4,29,6,,0.00,4,中雨-雷暴,136
2015-7-29,31,27,23,26,24,21,100,81,54,1012,1011,1009,29,11,5,26,8,,0.00,3,中雨-雷暴,122
2015-7-30,32,28,24,26,24,21,94,81,54,1012,1010,1009,26,11,6,21,8,,7.87,4,中雨-雷暴,107
2015-7-31,33,28,23,25,23,17,94,71,31,1012,1010,1008,27,12,6,21,8,,0.00,4,,125
2015-8-1,34,29,24,25,24,21,94,73,45,1012,1010,1008,23,11,5,14,6,,0.00,4,中雨,118
2015-8-2,35,30,24,25,23,20,94,69,41,1013,1011,1009,27,11,6,11,8,,0.00,3,,124
2015-8-3,35,29,23,25,23,20,91,68,39,1012,1010,1008,26,11,7,11,6,29,0.00,3,,122
2015-8-4,35,29,24,26,23,19,89,66,32,1010,1008,1005,26,11,8,11,6,35,0.00,4,,95
2015-8-5,36,30,24,26,24,21,89,68,36,1008,1005,1002,21,9,5,11,5,,0.00,4,,108
2015-8-6,36,30,25,26,24,21,89,67,33,1007,1005,1002,21,9,3,14,5,,0.00,3,,104
2015-8-7,37,30,24,26,24,21,100,68,33,1007,1004,1000,19,9,3,32,11,50,0.00,2,中雨-雷暴,5
2015-8-8,37,32,27,25,23,21,74,57,32,1002,999,996,23,13,6,32,14,47,0.00,1,,328
2015-8-9,35,31,26,25,23,22,79,61,40,1002,998,996,27,14,10,26,13,,0.00,2,,288
2015-8-10,31,28,26,27,26,22,94,83,54,1007,1003,1000,23,8,3,18,6,,12.95,6,中雨-雷暴,141
2015-8-11,28,26,24,26,26,23,100,93,82,1009,1007,1005,10,5,0,21,5,,61.98,6,雾-中雨-雷暴,86
2015-8-12,34,30,26,27,26,22,100,81,40,1009,1007,1004,26,8,2,14,6,,9.91,4,中雨-雷暴,88
2015-8-13,33,29,25,27,26,23,100,84,66,1008,1007,1004,23,9,5,29,6,47,14.99,5,中雨-雷暴,121
2015-8-14,34,29,24,27,26,22,100,90,59,1008,1006,1004,18,7,2,29,6,40,36.07,5,中雨-雷暴,90
2015-8-15,32,28,24,27,25,22,100,93,74,1009,1007,1006,18,6,1,32,6,55,14.99,6,中雨-雷暴,117
2015-8-16,35,29,24,27,26,23,100,84,59,1009,1007,1005,18,7,3,14,6,,0.00,6,中雨-雷暴,128
2015-8-17,34,29,25,27,26,24,100,84,56,1009,1007,1005,26,9,6,26,6,55,0.51,4,中雨-雷暴,125
2015-8-18,35,30,26,27,26,22,94,75,39,1009,1007,1004,26,11,6,18,8,29,0.00,5,,135
2015-8-19,37,32,27,28,26,23,94,72,45,1008,1007,1004,26,11,6,11,6,26,0.00,4,中雨,169
2015-8-20,33,29,26,28,27,24,90,82,65,1007,1006,1004,18,9,4,26,6,,21.08,4,中雨-雷暴,125
2015-8-21,35,30,26,26,24,22,84,68,49,1005,1003,1000,23,11,8,21,13,40,0.00,3,,351
2015-8-22,35,30,26,24,23,22,81,64,42,1003,1001,999,19,10,6,21,13,,0.00,4,,355
2015-8-23,36,30,25,25,23,21,83,61,38,1003,1000,998,23,11,5,18,11,43,0.00,2,,356
2015-8-24,36,30,25,24,22,18,81,58,29,1005,1002,1001,26,10,5,21,10,,0.00,4,,8
2015-8-25,36,29,23,24,21,18,88,59,29,1008,1005,1004,23,11,3,18,8,,0.00,,,59
2015-8-26,36,29,23,25,23,20,86,64,33,1009,1007,1005,18,9,3,18,8,,0.00,3,,98
2015-8-27,36,30,24,25,24,21,100,73,38,1009,1007,1005,23,7,2,14,8,,0.00,3,中雨-雷暴,82
2015-8-28,31,28,24,26,25,23,100,84,62,1008,1006,1004,14,6,3,11,6,,4.06,4,中雨,71
2015-8-29,32,28,24,26,25,23,100,90,60,1007,1006,1004,11,5,2,29,8,,28.96,6,中雨-雷暴,75
2015-8-30,30,27,24,25,24,23,94,87,69,1008,1006,1005,16,7,0,21,8,,14.99,6,雾-中雨,54
2015-8-31,29,27,24,26,25,23,100,89,74,1008,1007,1006,14,8,0,11,5,,5.08,6,中雨-雷暴,76
2015-9-1,30,27,24,26,25,23,100,92,76,1010,1007,1006,14,7,1,14,8,,36.07,6,中雨-雷暴,80
2015-9-2,28,26,24,26,25,23,100,94,83,1013,1010,1008,14,9,2,14,8,,5.08,7,中雨,90
2015-9-3,29,27,24,27,25,22,100,91,79,1015,1012,1011,18,9,2,11,5,,3.05,5,雾-中雨,73
2015-9-4,34,29,25,26,25,22,100,79,44,1014,1012,1010,27,9,2,14,6,,0.00,5,,134
2015-9-5,35,30,25,27,25,21,94,75,41,1013,1010,1007,26,10,3,14,5,32,0.00,4,,198
2015-9-6,35,31,26,26,25,23,89,71,44,1010,1007,1004,27,11,8,18,10,,0.00,3,,230
2015-9-7,30,27,24,27,24,23,100,84,74,1009,1007,1005,26,9,3,18,6,,19.05,5,中雨,46
2015-9-8,33,29,24,25,23,22,94,74,49,1011,1009,1007,19,9,3,14,6,,0.00,4,,112
2015-9-9,32,28,23,25,23,22,91,73,49,1014,1011,1009,16,7,2,6,5,,0.00,3,,109
2015-9-10,32,28,24,26,24,22,90,77,49,1014,1012,1009,14,5,2,18,6,,0.00,5,,129
2015-9-11,33,28,24,25,23,22,89,71,46,1012,1010,1007,14,7,4,11,6,,1.02,4,,133
2015-9-12,34,29,23,25,23,20,91,71,40,1014,1011,1009,18,8,2,29,8,,0.51,3,中雨,66
2015-9-13,30,27,23,21,19,18,74,65,51,1016,1014,1012,18,10,6,26,16,,0.00,4,,24
2015-9-14,31,27,22,22,21,18,85,67,44,1015,1012,1010,19,10,6,18,10,,0.00,5,,53
2015-9-15,34,28,22,24,22,19,89,69,40,1014,1011,1009,26,9,5,14,8,,0.00,4,,68
2015-9-16,32,28,24,24,22,20,83,68,50,1014,1012,1010,18,9,6,18,10,,0.25,6,,81
2015-9-17,35,30,24,24,23,19,90,67,39,1016,1014,1012,23,9,3,11,6,,0.00,3,中雨,98
2015-9-18,34,29,24,25,24,22,89,72,46,1017,1014,1012,13,6,3,11,6,,0.00,4,中雨,154
2015-9-19,35,30,25,26,24,22,89,73,51,1013,1011,1008,23,8,3,14,8,,0.00,3,中雨,183
2015-9-20,33,28,24,26,24,22,94,82,52,1010,1008,1005,21,10,1,26,10,,5.08,5,中雨-雷暴,158
2015-9-21,26,24,23,24,24,22,100,95,83,1010,1008,1007,13,7,2,11,5,,12.95,7,中雨,36
2015-9-22,32,28,23,26,24,22,100,84,53,1011,1009,1007,23,7,2,14,8,,0.00,5,雾-中雨,89
2015-9-23,34,29,24,26,25,22,94,77,49,1011,1008,1006,18,7,2,11,6,,0.00,3,雾,120
2015-9-24,35,30,25,26,25,21,94,76,38,1009,1006,1003,26,9,3,11,5,,0.00,4,,184
2015-9-25,36,30,24,26,25,22,94,73,39,1006,1004,1002,23,9,3,11,3,,0.00,4,,207
2015-9-26,34,30,26,26,24,22,91,72,51,1009,1006,1005,23,9,3,21,10,,0.00,3,中雨,21
2015-9-27,32,28,24,23,22,19,79,65,40,1011,1008,1007,26,11,10,21,11,,0.00,5,,19
2015-9-28,33,28,23,21,20,18,85,59,34,1010,1007,1005,23,12,6,26,13,35,0.00,3,,355
2015-9-29,34,29,23,23,19,13,78,55,36,1009,1006,1004,26,14,10,21,13,40,0.00,5,,338
2015-9-30,32,28,25,26,23,20,89,70,58,1014,1010,1008,13,8,3,14,8,,0.00,4,中雨,49
2015-10-1,34,29,25,26,23,19,94,70,43,1015,1013,1011,31,8,2,29,10,32,0.00,3,,25
2015-10-2,33,28,23,22,20,18,74,60,43,1015,1013,1011,26,13,10,21,13,,0.00,4,,37
2015-10-3,32,28,24,25,22,19,94,73,50,1014,1013,1011,26,11,6,21,11,,2.03,6,中雨,51
2015-10-4,27,26,24,25,24,22,100,92,84,1015,1013,1012,18,9,1,21,13,,23.88,6,中雨,64
2015-10-5,27,26,24,25,24,23,100,95,77,1016,1014,1013,19,8,1,29,13,47,7.87,6,中雨-雷暴,78
2015-10-6,28,26,24,26,24,22,100,90,78,1015,1013,1012,16,7,3,14,6,,3.05,6,中雨,95
2015-10-7,30,27,23,26,24,22,100,90,68,1015,1012,1010,26,8,1,21,6,,17.02,5,中雨-雷暴,129
2015-10-8,31,27,23,25,22,18,100,73,44,1012,1011,1009,27,10,2,21,8,32,0.00,4,中雨,348
2015-10-9,29,24,21,19,18,16,79,65,44,1014,1012,1011,27,13,10,21,13,,0.00,3,中雨,4
2015-10-10,25,21,17,18,17,14,94,73,60,1019,1015,1013,24,11,4,32,14,50,1.02,7,中雨,22
2015-10-11,21,18,16,17,15,13,88,77,60,1022,1020,1017,31,12,10,26,14,,0.51,8,中雨,41
2015-10-12,27,22,18,18,14,10,94,62,37,1022,1019,1017,26,13,7,21,6,,0.00,8,,32
2015-10-13,30,25,20,19,16,13,79,57,34,1021,1019,1016,27,12,8,14,6,,0.00,6,中雨,69
2015-10-14,31,24,19,19,17,11,88,59,27,1019,1017,1014,23,9,3,11,6,,0.00,,,81
2015-10-15,32,25,18,19,17,14,92,62,33,1016,1015,1012,16,8,2,14,6,,0.00,,,48
2015-10-16,32,25,18,19,15,12,91,54,28,1016,1014,1011,27,12,3,18,6,,0.00,,,44
2015-10-17,32,24,16,18,15,13,83,55,26,1016,1013,1011,26,14,8,18,5,21,0.00,,,42
2015-10-18,31,24,18,18,14,10,83,54,26,1015,1013,1011,24,15,6,26,8,,0.00,,,23
2015-10-19,29,23,18,17,14,10,78,54,30,1013,1011,1007,23,15,6,29,8,,0.00,,,16
2015-10-20,30,24,19,17,14,10,74,50,30,1011,1009,1006,27,15,8,21,10,,0.00,,,2
2015-10-21,31,24,18,20,17,16,83,61,40,1012,1010,1008,26,10,6,14,5,,0.00,1,,28
2015-10-22,32,26,21,20,19,16,86,61,35,1014,1012,1010,24,11,5,18,6,,0.00,2,,33
2015-10-23,33,26,19,21,18,14,91,62,31,1015,1013,1011,27,11,3,14,6,,0.00,1,中雨,71
2015-10-24,32,26,19,21,18,14,88,64,30,1017,1015,1013,24,10,3,11,6,,0.00,,,87
